character,skillType,skillTitle,enhancement,valueText,valuePercent
洛瑟菈,常态攻击,抓拍,暴击提升,暴击提升2.80%,2.8
洛瑟菈,共鸣技能,幻象定帧,攻击提升,攻击提升1.80%,1.8
洛瑟菈,共鸣技能,幻象定帧,攻击提升,攻击提升4.20%,4.2
洛瑟菈,共鸣解放,历历在目,攻击提升,攻击提升1.80%,1.8
洛瑟菈,共鸣解放,历历在目,攻击提升,攻击提升4.20%,4.2
洛瑟菈,变奏技能,剪辑,暴击提升,暴击提升1.20%,1.2
洛瑟菈,变奏技能,剪辑,暴击提升,暴击提升2.80,2.8
露西,常态攻击,靶定线程,暴击提升,暴击提升1.20%,1.2
露西,常态攻击,靶定线程,暴击提升,暴击提升2.80%,2.8
露西,共鸣技能,协议突破,攻击提升,攻击提升1.80%,1.8
露西,共鸣技能,协议突破,攻击提升,攻击提升4.20%,4.2
露西,共鸣解放,网络行者,攻击提升,攻击提升1.80%,1.8
露西,共鸣解放,网络行者,攻击提升,攻击提升4.20%,4.2
露西,变奏技能,过时幻觉,暴击提升,暴击提升1.20%,1.2
露西,变奏技能,过时幻觉,暴击提升,暴击提升2.80%,2.8
丽贝卡,常态攻击,混搭战术,暴击提升,暴击提升1.20%,1.2
丽贝卡,常态攻击,混搭战术,暴击提升,暴击提升2.80%,2.8
丽贝卡,共鸣技能,战术性调整,攻击提升,攻击提升1.80%,1.8
丽贝卡,共鸣技能,战术性调整,攻击提升,攻击提升4.20%,4.2
丽贝卡,共鸣解放,狂欢时间！,攻击提升,攻击提升1.80%,1.8
丽贝卡,共鸣解放,狂欢时间！,攻击提升,攻击提升4.20%,4.2
丽贝卡,变奏技能,到我了！,暴击提升,暴击提升1.20%,1.2
丽贝卡,变奏技能,到我了！,暴击提升,暴击提升2.80%,2.8
达妮娅,常态攻击,织梦的飨宴,暴击伤害提升,暴击伤害提升2.40%,2.4
达妮娅,常态攻击,织梦的飨宴,暴击伤害提升,暴击伤害提升5.60%,5.6
达妮娅,共鸣技能,泡沫蜜饵,攻击提升,攻击提升1.80%,1.8
达妮娅,共鸣技能,泡沫蜜饵,攻击提升,攻击提升4.20%,4.2
达妮娅,共鸣解放,帷幕终景,攻击提升,攻击提升1.80%,1.8
达妮娅,共鸣解放,帷幕终景,攻击提升,攻击提升4.20%,4.2
达妮娅,变奏技能,谨此致访,暴击伤害提升,暴击伤害提升2.40%,2.4
达妮娅,变奏技能,谨此致访,暴击伤害提升,暴击伤害提升5.60%,5.6
绯雪,常态攻击,灼樱刀术,暴击提升,暴击提升1.20%,1.2
绯雪,常态攻击,灼樱刀术,暴击提升,暴击提升2.80%,2.8
绯雪,共鸣技能,霜罚,攻击提升,攻击提升1.80%,1.8
绯雪,共鸣技能,霜罚,攻击提升,攻击提升4.20%,4.2
绯雪,共鸣解放,预求我身,攻击提升,攻击提升1.80%,1.8
绯雪,共鸣解放,预求我身,攻击提升,攻击提升4.20%,4.2
绯雪,变奏技能,霜锋,暴击提升,暴击提升1.20%,1.2
绯雪,变奏技能,霜锋,暴击提升,暴击提升2.80%,2.8
西格莉卡,常态攻击,一、二、三……,暴击提升,暴击提升1.20%,1.2
西格莉卡,常态攻击,一、二、三……,暴击提升,暴击提升2.80%,2.8
西格莉卡,共鸣技能,罗伊近身格斗技,攻击提升,攻击提升1.80%,1.8
西格莉卡,共鸣技能,罗伊近身格斗技,攻击提升,攻击提升4.20%,4.2
西格莉卡,共鸣解放,如那期望般！,攻击提升,攻击提升1.80%,1.8
西格莉卡,共鸣解放,如那期望般！,攻击提升,攻击提升4.20%,4.2
西格莉卡,变奏技能,昭日的语源,暴击提升,暴击提升1.20%,1.2
西格莉卡,变奏技能,昭日的语源,暴击提升,暴击提升2.80%,2.8
爱弥斯,常态攻击,校准无垠,暴击提升,暴击提升1.20%,1.2
爱弥斯,常态攻击,校准无垠,暴击提升,暴击提升2.80%,2.8
爱弥斯,共鸣技能,共赴长航,攻击提升,攻击提升1.80%,1.8
爱弥斯,共鸣技能,共赴长航,攻击提升,攻击提升4.20%,4.2
爱弥斯,共鸣解放,飞至启明之时,生命/攻击提升,攻击提升1.80%,1.8
爱弥斯,共鸣解放,飞至启明之时,攻击提升,攻击提升4.20%,4.2
爱弥斯,变奏技能,航程伊始的预兆,暴击提升,暴击提升1.20%,1.2
爱弥斯,变奏技能,航程伊始的预兆,暴击提升,暴击提升2.80%,2.8
莫宁,常态攻击,基态校准,治疗效果加成提升,治疗效果加成提升1.80%,1.8
莫宁,常态攻击,基态校准,治疗效果加成提升,治疗效果加成提升4.20%,4.2
莫宁,共鸣技能,解算,防御提升,防御提升2.28%,2.28
莫宁,共鸣技能,解算,防御提升,防御提升5.32%,5.32
莫宁,共鸣解放,临界协议,防御提升,防御提升2.28%,2.28
莫宁,共鸣解放,临界协议,防御提升,防御提升5.32%,5.32
莫宁,变奏技能,归敛,治疗效果加成提升,治疗效果加成提升1.80%,1.8
莫宁,变奏技能,归敛,治疗效果加成提升,治疗效果加成提升4.20%,4.2
千咲,常态攻击,俱寂,暴击提升,暴击提升1.20%,1.2
千咲,常态攻击,俱寂,暴击提升,暴击提升2.80%,2.8
千咲,共鸣技能,碎面构图,攻击提升,攻击提升1.80%,1.8
千咲,共鸣技能,碎面构图,攻击提升,攻击提升4.20%,4.2
千咲,共鸣解放,即刻·归无,攻击提升,攻击提升1.80%,1.8
千咲,共鸣解放,即刻·归无,攻击提升,攻击提升4.20%,4.2
千咲,变奏技能,鸣响·再临,暴击提升,暴击提升1.20%,1.2
千咲,变奏技能,鸣响·再临,暴击提升,暴击提升2.80%,2.8
仇远,常态攻击,质黑相青,暴击提升,暴击提升1.20%,1.2
仇远,常态攻击,质黑相青,暴击提升,暴击提升2.80%,2.8
仇远,共鸣技能,穿林打叶,攻击提升,攻击提升1.80%,1.8
仇远,共鸣技能,穿林打叶,攻击提升,攻击提升4.20%,4.2
仇远,共鸣解放,万钧一断,攻击提升,攻击提升1.80%,1.8
仇远,共鸣解放,万钧一断,攻击提升,攻击提升4.20%,4.2
仇远,变奏技能,攻其必救,暴击提升,暴击提升1.20%,1.2
仇远,变奏技能,攻其必救,暴击提升,暴击提升2.80%,2.8
嘉贝莉娜,常态攻击,猎魔扳机,暴击伤害加成提升,暴击伤害加成提升2.40%,2.4
嘉贝莉娜,常态攻击,猎魔扳机,暴击伤害加成提升,暴击伤害加成提升5.60%,5.6
嘉贝莉娜,共鸣技能,边缘翼动,攻击提升,攻击提升1.80%,1.8
嘉贝莉娜,共鸣技能,边缘翼动,攻击提升,攻击提升4.20%,4.2
嘉贝莉娜,共鸣解放,炼净,攻击提升,攻击提升1.80%,1.8
嘉贝莉娜,共鸣解放,炼净,攻击提升,攻击提升4.20%,4.2
嘉贝莉娜,变奏技能,永火上膛,暴击伤害加成提升,暴击伤害加成提升2.40%,2.4
嘉贝莉娜,变奏技能,永火上膛,暴击伤害加成提升,暴击伤害加成提升5.60%,5.6
尤诺,常态攻击,祭者独步,暴击提升,暴击提升1.20%,1.2
尤诺,常态攻击,祭者独步,暴击提升,暴击提升2.80%,2.8
尤诺,共鸣技能,先觉赋格,攻击提升,攻击提升1.80%,1.8
尤诺,共鸣技能,先觉赋格,攻击提升,攻击提升4.20%,4.2
尤诺,共鸣解放,溺失月海,攻击提升,攻击提升1.80%,1.8
尤诺,共鸣解放,溺失月海,攻击提升,攻击提升4.20%,4.2
尤诺,变奏技能,照我以显,暴击提升,暴击提升1.20%,1.2
尤诺,变奏技能,照我以显,暴击提升,暴击提升2.80%,2.8
奥古斯塔,常态攻击,常态攻击: 逐狩,暴击提升,暴击提升1.20%,1.2
奥古斯塔,常态攻击,常态攻击: 逐狩,暴击提升,暴击提升2.80%,2.8
奥古斯塔,共鸣技能,共鸣技能: 斩锋,攻击提升,攻击提升1.80%,1.8
奥古斯塔,共鸣技能,共鸣技能: 斩锋,攻击提升,攻击提升4.20%,4.2
奥古斯塔,共鸣解放,共鸣解放：至日的征伐,攻击提升,攻击提升1.80%,1.8
奥古斯塔,共鸣解放,共鸣解放：至日的征伐,攻击提升,攻击提升4.20%,4.2
奥古斯塔,变奏技能,变奏技能: 灼金的巡行,暴击提升,暴击提升1.20%,1.2
奥古斯塔,变奏技能,变奏技能: 灼金的巡行,暴击提升,暴击提升2.80,2.8
弗洛洛,常态攻击,常态攻击: 生与死的乐章,暴击提升,暴击提升1.20%,1.2
弗洛洛,常态攻击,常态攻击: 生与死的乐章,暴击提升,暴击提升2.80%,2.8
弗洛洛,共鸣技能,共鸣技能: 稍纵即逝的梦呓,攻击提升,攻击提升1.80%,1.8
弗洛洛,共鸣技能,共鸣技能: 稍纵即逝的梦呓,攻击提升,攻击提升4.20%,4.2
弗洛洛,共鸣解放,共鸣解放: 往日深渊的圆舞曲,攻击提升,攻击提升1.80%,1.8
弗洛洛,共鸣解放,共鸣解放: 往日深渊的圆舞曲,攻击提升,攻击提升4.20%,4.2
弗洛洛,变奏技能,变奏技能: 致命组歌,暴击提升,暴击提升1.20%,1.2
弗洛洛,变奏技能,变奏技能: 致命组歌,暴击提升,暴击提升2.80,2.8
露帕,常态攻击,常态攻击: 燃星,暴击提升,暴击提升1.20%,1.2
露帕,常态攻击,常态攻击: 燃星,暴击提升,暴击提升2.80%,2.8
露帕,共鸣技能,共鸣技能: 围猎,攻击提升,攻击提升1.80%,1.8
露帕,共鸣技能,共鸣技能: 围猎,攻击提升,攻击提升4.20%,4.2
露帕,共鸣解放,共鸣解放: 荣光欢酣于火,攻击提升,攻击提升1.80%,1.8
露帕,共鸣解放,共鸣解放: 荣光欢酣于火,攻击提升,攻击提升4.20%,4.2
露帕,变奏技能,变奏技能:你在看哪里？,暴击提升,暴击提升1.20%,1.2
露帕,变奏技能,变奏技能:你在看哪里？,暴击提升,暴击提升2.80,2.8
夏空,常态攻击,四拍的舞曲,暴击伤害提升,暴击伤害提升2.40%,2.4
夏空,常态攻击,四拍的舞曲,暴击伤害提升,暴击伤害提升5.60%,5.6
夏空,共鸣技能,谐律速奏,攻击提升,攻击提升1.80%,1.8
夏空,共鸣技能,谐律速奏,攻击提升,攻击提升4.20%,4.2
夏空,共鸣解放,歌者的三重华彩,攻击提升,攻击提升1.80%,1.8
夏空,共鸣解放,歌者的三重华彩,攻击提升,攻击提升4.20%,4.2
夏空,变奏技能,携风吟游,暴击伤害提升,暴击伤害提升2.40%,2.4
夏空,变奏技能,携风吟游,暴击伤害提升,暴击伤害提升5.60%,5.6
卡提希娅,常态攻击,常态攻击: 以剑奉读此身,暴击提升,暴击提升1.20%,1.2
卡提希娅,常态攻击,常态攻击: 以剑奉读此身,暴击提升,暴击提升2.80%,2.8
卡提希娅,共鸣技能,共鸣技能: 此剑以人之名,生命提升,生命提升1.80%,1.8
卡提希娅,共鸣技能,共鸣技能: 此剑以人之名,生命提升,生命提升4.20%,4.2
卡提希娅,共鸣解放,共鸣解放: 听骑士从心祈愿,生命提升,生命提升1.80%,1.8
卡提希娅,共鸣解放,共鸣解放: 听骑士从心祈愿,生命提升,生命提升4.20%,4.2
卡提希娅,变奏技能,变奏技能: 此剑，为潮水的过去,暴击提升,暴击提升1.20%,1.2
卡提希娅,变奏技能,变奏技能: 此剑，为潮水的过去,暴击提升,暴击提升2.80,2.8
赞妮,常态攻击,例行交涉,暴击提升,暴击提升1.20%,1.2
赞妮,常态攻击,例行交涉,暴击提升,暴击提升2.80%,2.8
赞妮,共鸣技能,无眠守望,攻击提升,攻击提升1.80%,1.8
赞妮,共鸣技能,无眠守望,攻击提升,攻击提升4.20%,4.2
赞妮,共鸣解放,晨昏交替之时,攻击提升,攻击提升1.80%,1.8
赞妮,共鸣解放,晨昏交替之时,攻击提升,攻击提升4.20%,4.2
赞妮,变奏技能,即刻执行,暴击提升,暴击提升1.20%,1.2
赞妮,变奏技能,即刻执行,暴击提升,暴击提升2.80%,2.8
坎特蕾拉,常态攻击,常态攻击: 虚像陷落,暴击提升,暴击提升1.20%,1.2
坎特蕾拉,常态攻击,常态攻击: 虚像陷落,暴击提升,暴击提升2.80%,2.8
坎特蕾拉,共鸣技能,幽影共舞,攻击提升,攻击提升1.80%,1.8
坎特蕾拉,共鸣技能,幽影共舞,攻击提升,攻击提升4.20%,4.2
坎特蕾拉,共鸣解放,海面之下,攻击提升,攻击提升1.80%,1.8
坎特蕾拉,共鸣解放,海面之下,攻击提升,攻击提升4.20%,4.2
坎特蕾拉,变奏技能,游弋,暴击提升,暴击提升1.20%,1.2
坎特蕾拉,变奏技能,游弋,暴击提升,暴击提升2.80%,2.8
菲比,常态攻击,敬请光辉降落,暴击伤害提升,暴击伤害提升2.4%,2.4
菲比,常态攻击,敬请光辉降落,暴击伤害提升,暴击伤害提升5.6%,5.6
菲比,共鸣技能,追寻光芒之所,攻击提升,攻击提升1.80%,1.8
菲比,共鸣技能,追寻光芒之所,攻击提升,攻击提升4.20%,4.2
菲比,共鸣解放,启明之誓愿,攻击提升,攻击提升1.80%,1.8
菲比,共鸣解放,启明之誓愿,攻击提升,攻击提升4.20%,4.2
菲比,变奏技能,金色恩典,暴击伤害提升,暴击伤害提升2.4%,2.4
菲比,变奏技能,金色恩典,暴击伤害提升,暴击伤害提升5.6%,5.6
布兰特,常态攻击,常态攻击: 船长的狂想演出,暴击加成提升,暴击加成提升1.20%,1.2
布兰特,常态攻击,常态攻击: 船长的狂想演出,暴击加成提升,暴击加成提升2.80%,2.8
布兰特,共鸣技能,共鸣技能: 起锚！,攻击提升,攻击提升1.80%,1.8
布兰特,共鸣技能,共鸣技能: 起锚！,攻击提升,攻击提升4.20%,4.2
布兰特,共鸣解放,共鸣解放: 直到世界尽头,攻击提升,攻击提升1.80%,1.8
布兰特,共鸣解放,共鸣解放: 直到世界尽头,攻击提升,攻击提升4.20%,4.2
布兰特,变奏技能,变奏技能: 为我！,暴击加成提升,暴击加成提升1.20%,1.2
布兰特,变奏技能,变奏技能: 为我！,暴击加成提升,暴击加成提升2.80%,2.8
洛可可,常态攻击,佩洛，悠着点,暴击伤害加成提升,暴击伤害提升2.40%,2.4
洛可可,常态攻击,佩洛，悠着点,暴击伤害加成提升,暴击伤害提升5.60%,5.6
洛可可,共鸣技能,高难度设计,攻击提升,攻击提升1.80%,1.8
洛可可,共鸣技能,高难度设计,攻击提升,攻击提升4.20%,4.2
洛可可,共鸣解放,即兴喜剧，开场,攻击提升,攻击提升1.80%,1.8
洛可可,共鸣解放,即兴喜剧，开场,攻击提升,攻击提升4.20%,4.2
洛可可,变奏技能,佩洛，来帮忙,暴击伤害加成提升,暴击伤害提升2.40%,2.4
洛可可,变奏技能,佩洛，来帮忙,暴击伤害加成提升,暴击伤害提升5.60%,5.6
珂莱塔,常态攻击,缄默执行,暴击提升,暴击提升1.20%,1.2
珂莱塔,常态攻击,缄默执行,暴击提升,暴击提升2.80%,2.8
珂莱塔,共鸣技能,暴力美学,攻击提升,攻击提升1.80%,1.8
珂莱塔,共鸣技能,暴力美学,攻击提升,攻击提升4.20%,4.2
珂莱塔,共鸣解放,新浪潮时代,攻击提升,攻击提升1.80%,1.8
珂莱塔,共鸣解放,新浪潮时代,攻击提升,攻击提升4.20%,4.2
珂莱塔,变奏技能,入冬叹调,暴击提升,暴击提升1.20%,1.2
珂莱塔,变奏技能,入冬叹调,暴击提升,暴击提升2.80%,2.8
椿,常态攻击,常态攻击: 育种,暴击伤害提升,暴击伤害提升2.40%,2.4
椿,常态攻击,常态攻击: 育种,暴击伤害提升,暴击伤害提升5.60%,5.6
椿,共鸣技能,共鸣技能: 盛放与凋零的轮舞,攻击提升,攻击提升1.80%,1.8
椿,共鸣技能,共鸣技能: 盛放与凋零的轮舞,攻击提升,攻击提升4.20%,4.2
椿,共鸣解放,共鸣解放: 芳华绽烬,攻击提升,攻击提升1.80%,1.8
椿,共鸣解放,共鸣解放: 芳华绽烬,攻击提升,攻击提升4.20%,4.2
椿,变奏技能,变奏技能: 八千春秋,暴击伤害提升,暴击伤害提升2.40%,2.4
椿,变奏技能,变奏技能: 八千春秋,暴击伤害提升,暴击伤害提升5.60%,5.6
守岸人,常态攻击,真源构演,治疗效果加成提升,治疗效果加成提升1.80%,1.8
守岸人,常态攻击,真源构演,治疗效果加成提升,治疗效果加成提升4.20%,4.2
守岸人,共鸣技能,混沌理论,生命提升,生命提升1.80%,1.8
守岸人,共鸣技能,混沌理论,生命提升,生命提升4.20%,4.2
守岸人,共鸣解放,终末回环,生命提升,生命提升1.80%,1.8
守岸人,共鸣解放,终末回环,生命提升,生命提升4.20%,4.2
守岸人,变奏技能,故此证明,治疗效果加成提升,治疗效果加成提升1.80%,1.8
守岸人,变奏技能,故此证明,治疗效果加成提升,治疗效果加成提升4.20%,4.2
折枝,常态攻击,轻云淡墨,暴击提升,暴击提升1.20%,1.2
折枝,常态攻击,轻云淡墨,暴击提升,暴击提升2.80%,2.8
折枝,共鸣技能,以形写神,攻击提升,攻击提升1.80%,1.8
折枝,共鸣技能,以形写神,攻击提升,攻击提升4.20%,4.2
折枝,共鸣解放,虚实境趣,攻击提升,攻击提升1.80%,1.8
折枝,共鸣解放,虚实境趣,攻击提升,攻击提升4.20%,4.2
折枝,变奏技能,柔翰生辉,暴击提升,暴击提升1.20%,1.2
折枝,变奏技能,柔翰生辉,暴击提升,暴击提升2.80%,2.8
相里要,常态攻击,问难,暴击伤害提升,暴击伤害提升2.4%,2.4
相里要,常态攻击,问难,暴击伤害提升,暴击伤害提升5.6%,5.6
相里要,共鸣技能,基本推衍,攻击提升,攻击提升1.80%,1.8
相里要,共鸣技能,基本推衍,攻击提升,攻击提升4.20%,4.2
相里要,共鸣解放,思维矩阵,攻击提升,攻击提升1.80%,1.8
相里要,共鸣解放,思维矩阵,攻击提升,攻击提升4.20%,4.2
相里要,变奏技能,正理,暴击伤害提升,暴击伤害提升2.4%,2.4
相里要,变奏技能,正理,暴击伤害提升,暴击伤害提升5.6%,5.6
长离,常态攻击,衔火洞明,暴击提升,暴击提升1.20%,1.2
长离,常态攻击,衔火洞明,暴击提升,暴击提升2.80%,2.8
长离,共鸣技能,赫羽三相,攻击提升,攻击提升1.80%,1.8
长离,共鸣技能,赫羽三相,攻击提升,攻击提升4.20%,4.2
长离,共鸣解放,离火照丹心,攻击提升,攻击提升1.80%,1.8
长离,共鸣解放,离火照丹心,攻击提升,攻击提升4.20%,4.2
长离,变奏技能,天道持枢,暴击提升,暴击提升1.20%,1.2
长离,变奏技能,天道持枢,暴击提升,暴击提升2.80%,2.8
今汐,常态攻击,浮光霁寒,暴击提升,暴击提升1.20%,1.2
今汐,常态攻击,浮光霁寒,暴击提升,暴击提升2.80%,2.8
今汐,共鸣技能,流光夕影,攻击提升,攻击提升1.80%,1.8
今汐,共鸣技能,流光夕影,攻击提升,攻击提升4.20%,4.2
今汐,共鸣解放,移岁诛邪,攻击提升,攻击提升1.80%,1.8
今汐,共鸣解放,移岁诛邪,攻击提升,攻击提升4.20%,4.2
今汐,变奏技能,蟠龙清辉,暴击提升,暴击提升1.20%,1.2
今汐,变奏技能,蟠龙清辉,暴击提升,暴击提升2.80%,2.8
吟霖,常态攻击,悬丝华刃舞,暴击提升,暴击提升1.20%,1.2
吟霖,常态攻击,悬丝华刃舞,暴击提升,暴击提升2.80%,2.8
吟霖,共鸣技能,磁殛咆哮,攻击提升,攻击提升1.80%,1.8
吟霖,共鸣技能,磁殛咆哮,攻击提升,攻击提升4.20%,4.2
吟霖,共鸣解放,破天雷灭击,攻击提升,攻击提升1.80%,1.8
吟霖,共鸣解放,破天雷灭击,攻击提升,攻击提升4.20%,4.2
吟霖,变奏技能,狂雷飓风,暴击提升,暴击提升1.20%,1.2
吟霖,变奏技能,狂雷飓风,暴击提升,暴击提升2.80%,2.8
忌炎,常态攻击,孤枪止戈,暴击提升,暴击提升1.20%,1.2
忌炎,常态攻击,孤枪止戈,暴击提升,暴击提升2.80%,2.8
忌炎,共鸣技能,枪扫风定,攻击提升,攻击提升1.80%,1.8
忌炎,共鸣技能,枪扫风定,攻击提升,攻击提升4.20%,4.2
忌炎,共鸣解放,苍躣八荒·谋定,攻击提升,攻击提升1.80%,1.8
忌炎,共鸣解放,苍躣八荒·谋定,攻击提升,攻击提升4.20%,4.2
忌炎,变奏技能,攻其不备,暴击提升,暴击提升1.20%,1.2
忌炎,变奏技能,攻其不备,暴击提升,暴击提升2.80%,2.8
漂泊者-女-气动,常态攻击,常态攻击: 刻雾裁风,治疗效果加成提升,治疗效果加成提升1.80%,1.8
漂泊者-女-气动,常态攻击,常态攻击: 刻雾裁风,治疗效果加成提升,治疗效果加成提升4.20%,4.2
漂泊者-女-气动,共鸣技能,共鸣技能: 裂象,攻击提升,攻击提升1.80%,1.8
漂泊者-女-气动,共鸣技能,共鸣技能: 裂象,攻击提升,攻击提升4.20%,4.2
漂泊者-女-气动,共鸣解放,共鸣解放: 万象归墟,攻击提升,攻击提升1.80%,1.8
漂泊者-女-气动,共鸣解放,共鸣解放: 万象归墟,攻击提升,攻击提升4.20%,4.2
漂泊者-女-气动,变奏技能,变奏技能: 狂岚未尽,治疗效果加成提升,治疗效果加成提升1.80%,1.8
漂泊者-女-气动,变奏技能,变奏技能: 狂岚未尽,治疗效果加成提升,治疗效果加成提升4.20%,4.2
漂泊者-男-气动,常态攻击,常态攻击: 刻雾裁风,治疗效果加成提升,治疗效果加成提升1.80%,1.8
漂泊者-男-气动,常态攻击,常态攻击: 刻雾裁风,治疗效果加成提升,治疗效果加成提升4.20%,4.2
漂泊者-男-气动,共鸣技能,共鸣技能: 裂象,攻击提升,攻击提升1.80%,1.8
漂泊者-男-气动,共鸣技能,共鸣技能: 裂象,攻击提升,攻击提升4.20%,4.2
漂泊者-男-气动,共鸣解放,共鸣解放: 万象归墟,攻击提升,攻击提升1.80%,1.8
漂泊者-男-气动,共鸣解放,共鸣解放: 万象归墟,攻击提升,攻击提升4.20%,4.2
漂泊者-男-气动,变奏技能,变奏技能: 狂岚未尽,治疗效果加成提升,治疗效果加成提升1.80%,1.8
漂泊者-男-气动,变奏技能,变奏技能: 狂岚未尽,治疗效果加成提升,治疗效果加成提升4.20%,4.2
鉴心,常态攻击,风仪拳术,暴击提升,暴击提升1.20%,1.2
鉴心,常态攻击,风仪拳术,暴击提升,暴击提升2.80%,2.8
鉴心,共鸣技能,静气循行,攻击提升,攻击提升1.80%,1.8
鉴心,共鸣技能,静气循行,攻击提升,攻击提升4.20%,4.2
鉴心,共鸣解放,涤净力场,攻击提升,攻击提升1.80%,1.8
鉴心,共鸣解放,涤净力场,攻击提升,攻击提升4.20%,4.2
鉴心,变奏技能,掌息之要,暴击提升,暴击提升1.20%,1.2
鉴心,变奏技能,掌息之要,暴击提升,暴击提升2.80%,2.8
卡卡罗,常态攻击,猎犬剑技·獠牙撕扯,暴击伤害提升,暴击伤害提升2.4%,2.4
卡卡罗,常态攻击,猎犬剑技·獠牙撕扯,暴击伤害提升,暴击伤害提升5.6%,5.6
卡卡罗,共鸣技能,灭杀指令,攻击提升,攻击提升1.80%,1.8
卡卡罗,共鸣技能,灭杀指令,攻击提升,攻击提升4.20%,4.2
卡卡罗,共鸣解放,幻影蚀刻,攻击提升,攻击提升1.80%,1.8
卡卡罗,共鸣解放,幻影蚀刻,攻击提升,攻击提升4.20%,4.2
卡卡罗,变奏技能,全境通缉,暴击伤害提升,暴击伤害提升2.40%,2.4
卡卡罗,变奏技能,全境通缉,暴击伤害提升,暴击伤害提升5.60%,5.6
安可,常态攻击,羊咩出击,热熔伤害提升,热熔伤害提升1.80%,1.8
安可,常态攻击,羊咩出击,热熔伤害提升,热熔伤害提升4.20%,4.2
安可,共鸣技能,热力羊咩,攻击提升,攻击提升1.80%,1.8
安可,共鸣技能,热力羊咩,攻击提升,攻击提升4.20%,4.2
安可,共鸣解放,黑咩大暴走,攻击提升,攻击提升1.80%,1.8
安可,共鸣解放,黑咩大暴走,攻击提升,攻击提升4.20%,4.2
安可,变奏技能,咩咩帮手,热熔伤害提升,热熔伤害提升1.80%,1.8
安可,变奏技能,咩咩帮手,热熔伤害提升,热熔伤害提升4.20%,4.2
维里奈,常态攻击,育苗,治疗效果加成提升,治疗效果加成提升1.80%,1.8
